Country,Estimated number of malaria cases
Afghanistan,630308
Algeria,0
Angola,4615605
Argentina,0
Armenia,0
Azerbaijan,0
Bangladesh,32924
Belize,7
Benin,4111699
Bhutan,11
Bolivia (Plurinational State of),6512
Botswana,2989
Brazil,217928
Burkina Faso,7907562
Burundi,2113066
Cabo Verde,423
Cambodia,208273
Cameroon,7307515
Central African Republic,1804550
Chad,2779489
China,0
Colombia,80357
Comoros,3230
Congo,1039706
Costa Rica,12
Côte d'Ivoire,3373486
Democratic People's Republic of Korea,2184
Democratic Republic of the Congo,25021891
Djibouti,15265
Dominican Republic,405
Ecuador,1275
Egypt,0
El Salvador,0
Equatorial Guinea,435143
Eritrea,115928
Eswatini,724
Ethiopia,2666954
Gabon,341980
Gambia,119044
Georgia,0
Ghana,7805045
Guatemala,4739
Guinea,4282165
Guinea-Bissau,107972
Guyana,24913
Haiti,32011
Honduras,1695
India,9590000
Indonesia,1530566
Iran (Islamic Republic of),60
Iraq,0
Kazakhstan,0
Kenya,3520384
Kyrgyzstan,0
Lao People's Democratic Republic,20712
Liberia,911333
Madagascar,2324289
Malawi,4303543
Malaysia,85
Mali,7160192
Mauritania,238272
Mexico,736
Morocco,0
Mozambique,10025823
Myanmar,116772
Namibia,89611
Nepal,3829
Nicaragua,13711
Niger,7702777
Nigeria,53667565
Oman,0
Pakistan,956280
Panama,808
Papua New Guinea,1500657
Paraguay,0
Peru,70745
Philippines,15253
Republic of Korea,436
Rwanda,6172220
Sao Tome and Principe,2239
Saudi Arabia,177
Senegal,1024285
Sierra Leone,2869588
Solomon Islands,103482
Somalia,541768
South Africa,22517
South Sudan,1781704
Sri Lanka,0
Sudan,1517910
Suriname,40
Syrian Arab Republic,0
Tajikistan,0
Thailand,11043
Timor-Leste,36
Togo,2891868
Turkey,0
Turkmenistan,0
Uganda,8600724
United Arab Emirates,0
United Republic of Tanzania,6477825
Uzbekistan,0
Vanuatu,2270
Venezuela (Bolivarian Republic of),519109
Viet Nam,5481
Yemen,762995
Zambia,3475522
Zimbabwe,1239430
